timestamp,temperature,humidity,pressure,visibility,wind_speed,rain,city
2026-01-21 10:45:59,,,,,,0.0,Karachi
2026-01-20 10:45:59,,,,,,0.0,Karachi
2026-01-19 10:45:59,,,,,,0.0,Karachi
2026-01-18 10:45:59,,,,,,0.0,Karachi
2026-01-17 10:45:59,,,,,,0.0,Karachi
2026-01-16 10:45:59,,,,,,0.0,Karachi
2026-01-15 10:45:59,,,,,,0.0,Karachi
2026-01-14 10:45:59,,,,,,0.0,Karachi
2026-01-13 10:45:59,,,,,,0.0,Karachi
2026-01-12 10:45:59,,,,,,0.0,Karachi
2026-01-11 10:45:59,,,,,,0.0,Karachi
2026-01-10 10:45:59,,,,,,0.0,Karachi
2026-01-09 10:45:59,,,,,,0.0,Karachi
2026-01-08 10:45:59,,,,,,0.0,Karachi
2026-01-07 10:45:59,,,,,,0.0,Karachi
2026-01-06 10:45:59,,,,,,0.0,Karachi
2026-01-05 10:45:59,,,,,,0.0,Karachi
2026-01-04 10:45:59,,,,,,0.0,Karachi
2026-01-03 10:45:59,,,,,,0.0,Karachi
2026-01-02 10:45:59,,,,,,0.0,Karachi
2026-01-01 10:45:59,,,,,,0.0,Karachi
2025-12-31 10:45:59,,,,,,0.0,Karachi
2025-12-30 10:45:59,,,,,,0.0,Karachi
2025-12-29 10:45:59,,,,,,0.0,Karachi
2025-12-28 10:45:59,,,,,,0.0,Karachi
2025-12-27 10:45:59,,,,,,0.0,Karachi
2025-12-26 10:45:59,,,,,,0.0,Karachi
2025-12-25 10:45:59,,,,,,0.0,Karachi
2025-12-24 10:45:59,,,,,,0.0,Karachi
2025-12-23 10:45:59,,,,,,0.0,Karachi
